0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /inscorp/js/Kasko/calendarKasko.js HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /inscorp/js/Kasko/setKaskoSettings.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /inscorp/js/Kasko/setKaskoValue.js HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /inscorp/js/validate.js HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:28:32 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /inscorp/js/Kasko/calendarKasko.js HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /inscorp/js/Kasko/setKaskoSettings.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /inscorp/js/Kasko/setKaskoValue.js HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /inscorp/js/validate.js HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:29:07 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
